Name,CR
شركة مرقاب السعودية للتجارة,1010657519
شركة مصنع وصائف الجنوب للحديد,3350043324
مصنع محمد عثمان العبد الكريم للخرسانة الجاهزة,1173100362
مؤسسة أنظمة النيازك للأعمال المعدنية,2051245345
مؤسسة النشمي لمواد البناء,1010309205
شركة التوريدات العالمية للإستثمار,2050233367
شركة العايد للمقاولات والنقليات,7001900807
شركة الدرع الدولي للتجارة,1010955697
شركة الاسيل الذهبي للتجارة,1010404243
شركة الإنشاء والتعمير للتجارة والصناعة,1128000015
مؤسسة عزيز باني الصاعدي للتجارة,4650004038
شركة رصد المتحدة للتجارة,2050093888
مصنع ابناء عبدالله محمد الصقعبي,1131053752
شركة رؤى المشاريع للمقاولات شركة شخص واحد,1010630401
شركة باني للصناعة,1010838441
شركة نجم الإنشاءات,2050076293
شركة قوة الشرق لصناعات المعدنية,1010672606
مؤسسة وهج الصلب التجارية,1010630071
شركة أبناء سليمان الجهني المحدودة,4560038454
شركة المدن الذكية للمقاولات,7022051473
مؤسسة الخبرة الكهربائية للمقاولات,4030214930
شركة الرائد العربي للصناعة و التجاره و المقاولات,1010192090
شركة اسطورة الخليج المحدودة,1010888327
مؤسسة ركن الشبكات التجارية,1010310773
شركة النافع للحديد,1010302215
مؤسسة منحنى الابداع للاتصالات,1010669859
مؤسسة على حسن غفة للتجارة,1010537251
Alkhorayef Industries Co,1010061089
شركة عنوان الفولاذ للتجارة,1010681615
مصنع عالم المسكن للصناعة,1011137987
شركه روابي الحديد التجارية,1010547306
مؤسسة أتحاد العوازل للتجارة,7023356467
شركة تبارك المميزة التجارية,4030220892
مؤسسة عبدالله سعيد الغامدي لمواد البناء,7011613457
شركة مجموعة ابو هيثم التجارية,1010078900
شركة سماء الرياض للحديد,1010674172
مؤسسة صدى المنابر للتجارة,1010264698
